date,SPY,TLT,GLD,BTC-USD
2022-06-10,368.857483,98.088623,174.539993,29083.804688
2022-06-13,354.852692,95.010674,169.929993,22487.388672
2022-06-14,353.783386,93.812271,168.570007,22206.792969
2022-06-15,358.827026,95.562454,170.770004,22572.839844
2022-06-16,346.951263,96.321190,172.690002,20381.650391
2022-06-17,347.699158,96.631577,171.270004,20471.482422
2022-06-21,356.452057,94.993446,170.630005,20710.597656
2022-06-22,355.805817,97.605789,171.309998,19987.029297
2022-06-23,359.293640,98.407608,170.259995,21085.876953
2022-06-24,370.716949,97.045395,170.089996,21231.656250
2022-06-27,369.300873,96.217720,169.899994,20735.478516
2022-06-28,361.755096,96.666054,169.619995,20280.634766
2022-06-29,361.460480,98.174843,169.490005,20104.023438
2022-06-30,358.523834,99.037003,168.460007,19784.726562
2022-07-01,362.315735,100.053787,168.320007,19269.367188
2022-07-05,363.000000,100.839905,164.750000,20190.115234
2022-07-06,364.226013,99.146706,162.139999,20548.246094
2022-07-07,369.681061,98.274216,162.229996,21637.587891
2022-07-08,369.377014,97.185730,162.300003,21731.117188
2022-07-11,365.157349,98.861633,161.429993,19970.556641
2022-07-12,361.926086,99.449089,160.830002,19323.914062
2022-07-13,360.025360,100.589394,161.600006,20212.074219
2022-07-14,359.151062,99.768677,159.330002,20569.919922
2022-07-15,366.012634,100.330223,159.009995,20836.328125
2022-07-18,362.990509,99.284904,159.160004,22485.689453
2022-07-19,372.798279,98.749336,159.539993,23389.433594
2022-07-20,375.174133,99.008484,158.039993,23231.732422
2022-07-21,378.994568,100.718979,160.270004,23164.628906
2022-07-22,375.478302,102.412148,160.669998,22714.978516
2022-07-25,375.934479,101.410019,160.229996,21361.701172
2022-07-26,371.486786,101.487808,160.039993,21239.753906
2022-07-27,381.132874,100.917656,161.669998,22930.548828
2022-07-28,385.913300,101.721069,163.639999,23843.886719
2022-07-29,391.539368,101.444641,164.100006,23804.632812
2022-08-01,390.379913,103.887756,165.029999,23314.199219
2022-08-02,387.804443,101.689537,164.050003,22978.117188
2022-08-03,393.877258,103.290604,164.449997,22846.507812
2022-08-04,393.611145,103.256004,167.169998,22630.957031
2022-08-05,392.945892,100.798134,165.289993,23289.314453
2022-08-08,392.489685,102.425140,166.690002,23809.486328
2022-08-09,390.931152,102.027039,167.199997,23164.318359
2022-08-10,399.142273,101.360664,166.779999,23947.642578
2022-08-11,399.142273,98.998032,166.339996,23957.529297
2022-08-12,405.899323,100.001907,167.869995,24402.818359
2022-08-15,407.571960,99.915390,165.710007,24136.972656
2022-08-16,408.370270,100.330818,165.419998,23883.291016
2022-08-17,405.471619,99.283607,164.350006,23335.998047
2022-08-18,406.650085,99.430740,163.919998,23212.738281
2022-08-19,401.185577,97.829674,162.720001,20877.552734
2022-08-22,392.831848,97.500793,161.639999,21398.908203
2022-08-23,391.881531,96.964211,162.770004,21528.087891
2022-08-24,393.136017,96.254547,163.250000,21395.019531
2022-08-25,398.686066,97.595963,163.750000,21600.904297
2022-08-26,385.190948,98.331604,161.759995,20260.019531
2022-08-29,382.644012,97.518105,161.860001,20297.994141
2022-08-30,378.443390,97.760445,160.509995,19796.808594
2022-08-31,375.563812,96.825745,159.270004,20049.763672
2022-09-01,376.742249,95.053040,157.869995,20127.140625
